theoretical_quantile,sample_quantile,reference_line
-1.5263492454048035,-0.019527047962410744,-0.019283062130379874
-1.5239560826594842,-0.019417215881697,-0.01925282584973858
-1.5215716162637705,-0.019354590927334585,-0.019222699442639206
-1.5191957697847482,-0.01932441369404211,-0.019192681943394387
-1.516828467809729,-0.019309343598191205,-0.01916277239920673
-1.514469635927959,-0.019249500868292715,-0.01913296986993774
-1.512119200712743,-0.019186782836573286,-0.01910327342788195
-1.5097770897039644,-0.019170139828620023,-0.019073682157546068
-1.5074432313909933,-0.019129564406881405,-0.019044195155433055
-1.5051175551959788,-0.01909881239810127,-0.019014811529831
-1.5027999914575008,-0.019094599089836888,-0.018985530400606604
-1.500490471414588,-0.019028167147738362,-0.018956350899003216
-1.4981889271910815,-0.018992751655529973,-0.018927272167443315
-1.4958952917803385,-0.018923003523099786,-0.018898293359335225
-1.4936094990302695,-0.01891346576044549,-0.018869413638884076
-1.4913314836286955,-0.01888936344191896,-0.0188406321809068
-1.489061181089018,-0.018871809346653768,-0.018811948170651082
-1.4867985277362021,-0.01886969338644653,-0.018783360803618265
-1.484543460693049,-0.018753314489473028,-0.018754869285389896
-1.4822959178667647,-0.018730797204294294,-0.018726472831458053
-1.4800558379358122,-0.01872385719126637,-0.01869817066705921
-1.4778231603370366,-0.018697738108801515,-0.01866996202701158
-1.4755978252530608,-0.01862678696117602,-0.018641846155555857
-1.4733797735999445,-0.018615428175660167,-0.018613822306199315
-1.4711689470150993,-0.01861007056922151,-0.018585889741563097
-1.4689652878454504,-0.018601748849079745,-0.018558047733232663
-1.4667687391358455,-0.018579568297370824,-0.018530295561611326
-1.464579244617697,-0.018500916264940593,-0.01850263251577677
-1.4623967486978597,-0.01848935970538716,-0.01847505789334052
-1.460221196447732,-0.01831183214988727,-0.01844757100031023
-1.458052533592577,-0.018249850371246622,-0.01842017115095478
-1.4558907065010591,-0.018215289414267984,-0.018392857667672066
-1.4537356621749933,-0.018183822248874576,-0.018365629880859487
-1.4515873482392934,-0.017868735613570556,-0.01833848712878695
-1.449445712932123,-0.017856436235123792,-0.018311428757472437
-1.4473107050952458,-0.01782956840832614,-0.01828445412056007
-1.4451822741645595,-0.017742546210478854,-0.01825756257920054
-1.4430603701608158,-0.01773923895933169,-0.018230753501933827
-1.4409449436805302,-0.017697555173434864,-0.018204026264574374
-1.4388359458870597,-0.017679270270713983,-0.018177380250098355
-1.436733328501857,-0.017675594623949104,-0.018150814848533165
-1.4346370437958966,-0.017613799534041075,-0.01812432945684911
-1.4325470445812623,-0.0175866202618281,-0.018097923478853098
-1.4304632842028946,-0.017555363575488075,-0.0180715963250844
-1.4283857165305043,-0.017420493145139524,-0.01804534741271246
-1.4263142959506285,-0.017401680744751298,-0.018019176165436537
-1.4242489773588458,-0.017323897063190603,-0.017993082013387344
-1.4221897161521362,-0.017281951506643026,-0.01796706439303052
-1.420136468221381,-0.017225562748439976,-0.017941122747071884
-1.418089189944009,-0.0171883956842769,-0.017915256524364494
-1.4160478381767776,-0.017186716349842077,-0.01788946517981748
-1.4140123702486864,-0.017165752043870396,-0.017863748174306467
-1.411982743954023,-0.017160499943771557,-0.017838104974585753
-1.40995891754554,-0.017118799963715944,-0.017812535053202076
-1.4079408497277548,-0.017073978411225144,-0.017787037888409976
-1.4059284996503698,-0.016969154513710342,-0.017761612964088656
-1.4039218269018194,-0.016896909722566553,-0.017736259769660454
-1.401920791502925,-0.016893858737948332,-0.017710977800010675
-1.3999253539006773,-0.01687886973153382,-0.017685766555409044
-1.3979354749621171,-0.016819595146620396,-0.017660625541432377
-1.3959511159683375,-0.016816515083000062,-0.017635554268888815
-1.3939722386085853,-0.01679933887109049,-0.017610552253743292
-1.391998804974473,-0.016798761759584266,-0.017585619017044408
-1.390030777554293,-0.016778844856828075,-0.017560754084852602
-1.3880681192274278,-0.016758847857392078,-0.0175359569881695
-1.386110793258866,-0.0167457834822477,-0.01751122726286867
-1.384158763293812,-0.016738778505526037,-0.017486564449627474
-1.3822119933523833,-0.01668991380990849,-0.01746196809386011
-1.3802704478244143,-0.016681861500739577,-0.01743743774565193
-1.378334091464339,-0.016661040666805595,-0.01741297295969481
-1.376402889386164,-0.0166596013313067,-0.017388573295223614
-1.3744768070585376,-0.016605987681671496,-0.017364238315953916
-1.3725558102998878,-0.016565191350875752,-0.017339967590020565
-1.3706398652736609,-0.01655872591708754,-0.01731576068991751
-1.3687289384836276,-0.01651970781100788,-0.017291617192438526
-1.3668229967692784,-0.01649520942814031,-0.017267536678619008
-1.3649220073012915,-0.0164804848942875,-0.01724351873367873
-1.3630259375770803,-0.01645803120697187,-0.017219562946965587
-1.361134755416414,-0.016426265631819842,-0.017195668911900247
-1.3592484289571147,-0.016393492938460704,-0.017171836225921815
-1.3573669266508244,-0.016378786385871306,-0.01714806449043433
-1.3554902172588408,-0.016360165344677182,-0.01712435331075415
-1.3536182698480284,-0.0163587702515037,-0.017100702296058316
-1.3517510537867903,-0.01631134723068929,-0.017077111059333627
-1.34988853874111,-0.016293723367809626,-0.017053579217326656
-1.3480306946706593,-0.016260925740746862,-0.017030106390494557
-1.3461774918249707,-0.016247395686977275,-0.01700669220295671
-1.3443289007396648,-0.01617308574283055,-0.01698333628244707
-1.3424848922327515,-0.016142238072778838,-0.01696003826026742
-1.3406454374009795,-0.016028954341577247,-0.01693679777124124
-1.3388105076162538,-0.01601942980984909,-0.016913614453668478
-1.3369800745221045,-0.01599970384565868,-0.016890487949280903
-1.3351541100302189,-0.015998055350280663,-0.016867417903198297
-1.3333325863170191,-0.015979525163136978,-0.016844403963885222
-1.3315154758203085,-0.015960624238025047,-0.016821445783108655
-1.329702751235959,-0.015854794877130204,-0.016798543015896113
-1.3278943855146554,-0.015853165441023494,-0.016775695320494548
-1.3260903518586944,-0.015829031376963433,-0.01675290235832987
-1.3242906237188277,-0.015812055715958277,-0.01673016379396709
-1.3224951747911633,-0.015770605178840075,-0.01670747929507116
-1.3207039790141035,-0.015720066364491178,-0.016684848532368284
-1.3189170105653452,-0.015709274252663382,-0.01666227117960802
-1.3171342438589118,-0.015677538878157787,-0.016639746913525776
-1.3153556535422442,-0.015661843985843523,-0.01661727541380607
-1.3135812144933277,-0.015653732229520496,-0.016594856363046213
-1.3118109018178694,-0.015554707140012763,-0.016572489446720656
-1.3100446908465135,-0.015534086272597015,-0.0165501743531458
-1.3082825571321046,-0.0155298296930443,-0.01652791077344544
-1.306524476446988,-0.015518600492095084,-0.016505698401516618
-1.3047704247803558,-0.015441507348645517,-0.016483536933996134
-1.3030203783356282,-0.015426108361320976,-0.016461426070227433
-1.301274313527879,-0.015406533530776647,-0.016439365512228084
-1.2995322069812967,-0.01538762086037121,-0.01641735496465771
-1.2977940355266873,-0.015349461165854351,-0.016395394134786422
-1.2960597761990091,-0.015334856530782174,-0.01637348273246369
-1.2943294062349509,-0.015292034668699663,-0.016351620470087733
-1.2926029030705395,-0.015279698968740398,-0.016329807062575297
