date,target,sp500_ret_l1,gold_ret_l1,oil_ret_l1,eur_usd_ret_l1,usd_chf_ret_l1,gdp_growth_l1,cpi_inflation_l1,rate_change_l1
2012-06-25,-0.0194459426915456,0.0076720947964151,0.0041030075121401,0.0216614967811794,-0.0032629052863562013,0.0031390629522117307,0.0,0.0,0.0
2012-06-26,0.0062575414776732,-0.0161647148420686,0.0073107375220059,-0.0100167782434713,-0.005194816877103911,0.005106039333000504,0.0,0.0,0.0
2012-06-27,0.0060596581531188,0.0050133033218835,-0.0074417733604951,0.0003355141786211,-0.0007214140026714676,0.0009350164309066464,0.0,0.0,0.0
2012-06-28,-0.0111911639612609,0.008976111558778,0.0013750206782578,0.0129980166908438,-0.0011232350346544633,0.0012453301733964359,0.0,0.0,0.0
2012-06-29,0.0310249638131252,-0.0028575745118174,-0.011715284707064,-0.0234516610350498,-0.0019284859331551258,0.001968606551941966,0.0,0.0,0.0
2012-07-02,0.0029569704838765,0.0246209766551841,0.0270392648508524,0.0760189779482272,0.018724900705592813,-0.018385559148394914,0.0,0.0,0.0
2012-07-03,0.0083565945909414,0.003007962357466,-0.0006445791121718,-0.0126463904845252,-0.006652962920416648,0.006201081408637504,0.0,0.0,0.0
2012-07-05,0.0006162378873184,0.0065712853287966,0.0151658641849596,0.0469248739400179,0.0028566913570903974,-0.0028330117054086276,0.0,0.0,0.0
2012-07-06,-0.0125534387790432,-0.00452225424233,-0.0113688393186262,-0.0097621275566264,-0.018877540265695845,0.018840005592954127,0.0,0.0,0.0
2012-07-09,-0.0018732443816804,-0.009549066243013,-0.0127349082008541,-0.0320849823788738,-0.008189124290414018,0.00811300984037361,0.0,0.0,0.0
2012-07-10,-0.0098925200242462,-0.001255492945832,0.0021445987098673,0.0181937264369411,0.001301765703316243,-0.0013305359928204859,0.0,0.0,0.0
2012-07-11,-0.0055384270062969,-0.0087583132409166,-0.0123454326037279,-0.0204120762612566,-0.0035839412801975095,0.0034761306856692822,0.0,0.0,0.0
2012-07-12,-0.0094062072554758,0.0001490868433622,0.0055056834363074,0.0253733267476633,-0.0008979958969098769,0.00102009597747251,0.0,0.0,0.0
2012-07-13,0.015102425189122,-0.0048567361129498,-0.0026179738756433,-0.004029139186979,-0.003682039916565475,0.003562163453218551,0.0,0.0,0.0
2012-07-16,-0.0028440531099629,0.0166385774120413,0.0101066944462028,0.0147968174414393,0.002701487460160739,-0.0026449659366899123,0.0,0.0,0.0
2012-07-17,0.00520793412563,-0.0023600571467648,0.000454029519718,0.0133740595252568,0.0028572614238537193,-0.002651980338450045,0.0,0.0,0.0
2012-07-18,0.0134461062716503,0.0068435456024224,-0.0048102016825615,0.0078195887166302,-0.0026937692302417436,0.002753839263926499,0.0,0.0,0.0
2012-07-19,0.0109662076644314,0.0073795680674112,-0.0027404427955819,0.0092441391847723,0.002204532429876856,-0.0023453842393566715,0.0,0.0,0.0
2012-07-20,-0.0133763157309504,0.0026172315921265,0.0021538369452915,0.0278080262757729,-0.0003262908912218258,0.00030623181987900926,0.0,0.0,0.0
2012-07-23,-0.0121384473285234,-0.0091904366792178,0.0018889437305277,-0.0127834396256749,-0.006630401239698072,0.006612098755473317,0.0,0.0,0.0
