theoretical_quantile_t,sample_quantile,reference_line
-2.0827594426210996,-1.8961459992680285,-1.675096566564653
-2.077553757250056,-1.8959000458069466,-1.6709180645376298
-2.072385804703444,-1.8940234093061143,-1.6667698499121943
-2.0672550276168535,-1.8939008893795097,-1.6626514753028152
-2.062160880730197,-1.8921425341634437,-1.6585625030398643
-2.0571028305420223,-1.8920524996865395,-1.6545025048921396
-2.052080354976027,-1.8827982639063294,-1.6504710617991856
-2.0470929430592606,-1.8813549823358449,-1.6464677636129892
-2.0421400946115265,-1.8765289451800218,-1.6424922088486706
-2.0372213199455227,-1.868456970562803,-1.638544004443792
-2.032336139577276,-1.868057697124806,-1.6346227655259278
-2.0274840839464563,-1.860133455796912,-1.6307281151881674
-2.022664693146172,-1.8600740193162637,-1.6268596842722267
-2.0178775166618386,-1.859028502168305,-1.6230171111588436
-2.0131221131188117,-1.855928500143227,-1.6192000415652066
-2.0083980500383745,-1.8559004219894917,-1.6154081283490924
-2.003704903601793,-1.8437841020725747,-1.6116410313194767
-1.9990422584221068,-1.8416525941826818,-1.6078984170533552
-1.994409707323352,-1.8381366207689238,-1.6041799587185297
-1.989806851126938,-1.8340685954331664,-1.6004853359021385
-1.9852332984448893,-1.823349660128873,-1.5968142344446936
-1.9806886654797007,-1.8063578429717668,-1.5931663462794299
-1.976172575830556,-1.8054393510912234,-1.5895413692767597
-1.9716846603056541,-1.8042452442954955,-1.5859390070936314
-1.9672245567404383,-1.7923032643429668,-1.5823589690276252
-1.9627919098214797,-1.7892317128738668,-1.5788009698755878
-1.9583863709158305,-1.78617312649299,-1.5752647297966578
-1.9540075979056308,-1.7748303522861584,-1.5717499741795073
-1.949655255027783,-1.769052496510717,-1.5682564335136524
-1.945329012718503,-1.7689600095923286,-1.564783843264677
-1.941028547462576,-1.766062775064541,-1.5613319437532334
-1.936753541647154,-1.7572642455057994,-1.557900480037689
-1.932503683419915,-1.749348743003012,-1.5544892018002723
-1.9282786665514464,-1.7411777887937394,-1.551097863236612
-1.924078190301699,-1.728032619804323,-1.5477262229485411
-1.919901959290355,-1.7231589491488506,-1.5443740438400446
-1.915749683370991,-1.7230516723450344,-1.5410410930162526
-1.9116210775089029,-1.7224212659454965,-1.537727141685372
-1.907515861662448,-1.7023414016364378,-1.5344319650634433
-1.9034337606677978,-1.6999161899306463,-1.5311553422818325
-1.8993745041269987,-1.6972342481457365,-1.527897056297381
-1.8953378262991873,-1.6962553170449328,-1.524656893805085
-1.8913234659949012,-1.6918192181109346,-1.5214346451532619
-1.8873311664733434,-1.6833842830939896,-1.5182301042610855
-1.883360675342523,-1.6831592925506245,-1.515043068538432
-1.8794117444621767,-1.681260352666624,-1.511873338807956
-1.875484129849358,-1.6787540696917023,-1.508720719229309
-1.8715775915866377,-1.668470715418584,-1.505585017225454
-1.8676918937328033,-1.6648274821433573,-1.5024660434109853
-1.863826804235989,-1.6622949053983018,-1.4993636115224005
-1.859982094849159,-1.6571976963887274,-1.4962775383502598
-1.8561575410478623,-1.6549146631752407,-1.4932076436731687
-1.8523529219501869,-1.649301179722982,-1.4901537501935287
-1.8485680202388481,-1.6481087064689974,-1.4871156834749975
-1.8448026220853369,-1.6419636444388457,-1.484093271881605
-1.8410565170760755,-1.633114763324959,-1.4810863465184798
-1.8373294981404942,-1.6330174700551305,-1.4780947411741179
-1.8336213614809973,-1.6306993719344827,-1.4751182922641677
-1.82993190650474,-1.6288847435815559,-1.4721568387766681
-1.8262609357571664,-1.6260107887189417,-1.4692102222187022
-1.8226082548572566,-1.6235041907805619,-1.4662782865644193
-1.8189736724344263,-1.6189497644408641,-1.4633608782043872
-1.8153570000670314,-1.617998439058972,-1.4604578458962305
-1.8117580522224332,-1.6172556642885474,-1.4575690407165218
-1.8081766461985633,-1.6108208243306807,-1.4546943160138774
-1.8046126020669593,-1.6060975704059703,-1.451833527363233
-1.8010657426172232,-1.6028524007441518,-1.4489865325212612
-1.797535893302845,-1.5985535311056633,-1.446153191382886
-1.7940228821883826,-1.5963710099157602,-1.4433333659388845
