model,fold_id,date,actual,forecast,forecast_error,predicted_direction,actual_direction,direction_correct,position,previous_position,turnover,gross_return,transaction_cost,net_return,cumulative_gross,cumulative_net
phase5_patchtst,2,2020-06-17,0.0031656655482947826,1.177965896204114e-05,0.0031538859475404024,1.0,1.0,True,1.0,1.0,0.0,0.0031656655482947826,0.0,0.0031656655482947826,1.547103857740491,1.5218371386012794
phase5_patchtst,2,2020-06-18,0.0027054741512984037,-0.0003006471670232713,0.003006121376529336,-1.0,1.0,False,-1.0,1.0,2.0,-0.0027054741512984037,0.001,-0.0037054741512984038,1.542918208244,1.5161980104217065
phase5_patchtst,2,2020-06-19,-0.00016375997802242637,0.00019984209211543202,-0.0003636020701378584,1.0,-1.0,False,1.0,-1.0,2.0,-0.00016375997802242637,0.001,-0.0011637599780224264,1.5426655399921276,1.5144335198584205
phase5_patchtst,2,2020-06-22,0.010183801874518394,0.00017953701899386942,0.010004265233874321,1.0,1.0,True,1.0,1.0,0.0,0.010183801874518394,0.0,0.010183801874518394,1.5583757402100544,1.5298562107767881
phase5_patchtst,2,2020-06-23,0.008474969305098057,0.00039987865602597594,0.008075091056525707,1.0,1.0,True,1.0,1.0,0.0,0.008474969305098057,0.0,0.008474969305098057,1.5715829267741441,1.542821695204335
phase5_patchtst,2,2020-06-24,-0.02083112671971321,0.00017563696019351482,-0.021006762981414795,1.0,-1.0,False,1.0,1.0,0.0,-0.02083112671971321,0.0,-0.02083112671971321,1.5388450836759742,1.5106829809656108
phase5_patchtst,2,2020-06-25,0.009474486112594604,-0.0002372956369072199,0.00971178151667118,-1.0,1.0,False,-1.0,1.0,2.0,-0.009474486112594604,0.001,-0.010474486112594605,1.5242653173012517,1.4948593530609535
phase5_patchtst,2,2020-06-26,-0.023898309096693993,1.1214346159249544e-05,-0.023909524083137512,1.0,-1.0,False,1.0,-1.0,2.0,-0.023898309096693993,0.001,-0.024898309096693994,1.487837953603016,1.4576398828323578
phase5_patchtst,2,2020-06-29,0.010847619734704494,0.0002462780103087425,0.010601341724395752,1.0,1.0,True,1.0,1.0,0.0,0.010847619734704494,0.0,0.010847619734704494,1.5039774539505624,1.4734518059914625
phase5_patchtst,2,2020-06-30,0.01941175013780594,0.00041445897659286857,0.01899729110300541,1.0,1.0,True,1.0,1.0,0.0,0.01941175013780594,0.0,0.01941175013780594,1.5331722884995442,1.5020540842894676
phase5_patchtst,2,2020-07-01,0.011604459956288338,3.142084460705519e-05,0.01157303899526596,1.0,1.0,True,1.0,1.0,0.0,0.011604459956288338,0.0,0.011604459956288338,1.5509639249275282,1.5194846107627842
phase5_patchtst,2,2020-07-02,0.00676377210766077,-0.00039163429755717516,0.007155406288802624,-1.0,1.0,False,-1.0,1.0,2.0,-0.00676377210766077,0.001,-0.0077637721076607704,1.5404735583921154,1.5076876785237243
phase5_patchtst,2,2020-07-06,0.024287300184369087,-5.0297356210649014e-05,0.02433759719133377,-1.0,1.0,False,-1.0,-1.0,0.0,-0.024287300184369087,0.0,-0.024287300184369087,1.5030596146533628,1.471070015291144
phase5_patchtst,2,2020-07-07,-0.006912648677825928,0.0004237728426232934,-0.007336421404033899,1.0,-1.0,False,1.0,-1.0,2.0,-0.006912648677825928,0.001,-0.007912648677825929,1.4926694915954357,1.4594299550796612
phase5_patchtst,2,2020-07-08,0.013085747137665749,0.00037748811882920563,0.01270825881510973,1.0,1.0,True,1.0,1.0,0.0,0.013085747137665749,0.0,0.013085747137665749,1.5122021871225617,1.4785276864369685
phase5_patchtst,2,2020-07-09,0.008388121612370014,0.00013745328760705888,0.00825066864490509,1.0,1.0,True,1.0,1.0,0.0,0.008388121612370014,0.0,0.008388121612370014,1.5248867229706378,1.490929756478058
phase5_patchtst,2,2020-07-10,0.006804169155657291,-0.0005380306392908096,0.007342199794948101,-1.0,1.0,False,-1.0,1.0,2.0,-0.006804169155657291,0.001,-0.007804169155657291,1.5145111357643297,1.4792942884593003
phase5_patchtst,2,2020-07-13,-0.02078503929078579,-0.00026864901883527637,-0.02051638998091221,-1.0,-1.0,True,-1.0,-1.0,0.0,0.02078503929078579,0.0,0.02078503929078579,1.545990309227524,1.510041478367562
phase5_patchtst,2,2020-07-14,0.007053275592625141,0.00015969731612131,0.006893578451126814,1.0,1.0,True,1.0,-1.0,2.0,0.007053275592625141,0.001,0.006053275592625141,1.5568946049420336,1.5191821755924162
phase5_patchtst,2,2020-07-15,0.0020334958098828793,0.0003055099514313042,0.001727985916659236,1.0,1.0,True,1.0,1.0,0.0,0.0020334958098828793,0.0,0.0020334958098828793,1.5600605435976125,1.522271426180932
phase5_patchtst,2,2020-07-16,-0.006845916621387005,0.00021851735073141754,-0.007064433768391609,1.0,-1.0,False,1.0,1.0,0.0,-0.006845916621387005,0.0,-0.006845916621387005,1.5493804991918276,1.5118500829221775
phase5_patchtst,2,2020-07-17,0.001157095073722303,-0.000668030814267695,0.0018251258879899979,-1.0,1.0,False,-1.0,1.0,2.0,-0.001157095073722303,0.001,-0.002157095073722303,1.5475877186488913,1.5085888785560995
phase5_patchtst,2,2020-07-20,0.027975978329777718,-0.00034977152245119214,0.028325749561190605,-1.0,1.0,False,-1.0,-1.0,0.0,-0.027975978329777718,0.0,-0.027975978329777718,1.5042924381685399,1.4663846287810705
